steps,baseline_mnist_feature_fid,enhanced_mnist_feature_fid,baseline_mean_confidence,enhanced_mean_confidence,baseline_low_confidence_ratio,enhanced_low_confidence_ratio,baseline_class_coverage,enhanced_class_coverage,baseline_normalized_class_entropy,enhanced_normalized_class_entropy,baseline_class_distribution_tvd,enhanced_class_distribution_tvd,baseline_samples_per_second,enhanced_samples_per_second,fid_reduction_percent,confidence_gain_percentage_points,low_confidence_reduction_percent,sampling_slowdown
1000,20.98478126235522,16.11094288341956,0.9369556307792664,0.9636893272399902,0.12600000202655792,0.06499999761581421,10,10,0.9953436255455017,0.9938501119613647,0.06599999591708183,0.06199999898672104,13.450971440456483,3.164257307859649,23.225585809078122,2.6733696460723877,48.4127011346288,4.250909496849649
200,22.730205842943626,18.899214748827205,0.9405557513237,0.9621472358703613,0.11500000208616257,0.07800000160932541,10,10,0.9961168766021729,0.9973376989364624,0.0520000085234642,0.04600000008940697,66.61757306826777,15.757454652465444,16.854185661964497,2.1591484546661377,32.17391287446698,4.227686167438511
50,22.751183089832693,15.129076286170653,0.9322097897529602,0.9629161953926086,0.14000000059604645,0.07100000232458115,10,10,0.9932225346565247,0.9972964525222778,0.08700000494718552,0.05800000578165054,266.02307526743243,59.3267550008002,33.50202393240945,3.0706405639648438,49.28571284121397,4.484032124525339
